Property ID in AVL packet Property ID in AVL packet,Property Name Property Name,Bytes Bytes,Type Type,Value range Min,Value range Max,Units Units,Parameter Group Parameter Group
460,BLE Button 2 state #2,1,Unsigned,0,1,-,Permanent I/O elements
461,BLE Button 2 state #3,1,Unsigned,0,1,-,Permanent I/O elements
462,BLE Button 2 state #4,1,Unsigned,0,1,-,Permanent I/O elements
622,Frequency DIN1,2,Unsigned,0,65535,Hz,Permanent I/O elements
623,Frequency DIN2,2,Unsigned,0,65535,Hz,Permanent I/O elements
1148,Connectivity quality,4,Unsigned,0,4294967295,-,Permanent I/O elements
155,Geofence zone 01,1,Unsigned,0,3,-,Eventual I/O elements
156,Geofence zone 02,1,Unsigned,0,3,-,Eventual I/O elements
157,Geofence zone 03,1,Unsigned,0,3,-,Eventual I/O elements
158,Geofence zone 04,1,Unsigned,0,3,-,Eventual I/O elements
159,Geofence zone 05,1,Unsigned,0,3,-,Eventual I/O elements
61,Geofence zone 06,1,Unsigned,0,3,-,Eventual I/O elements
62,Geofence zone 07,1,Unsigned,0,3,-,Eventual I/O elements
63,Geofence zone 08,1,Unsigned,0,3,-,Eventual I/O elements
64,Geofence zone 09,1,Unsigned,0,3,-,Eventual I/O elements
65,Geofence zone 10,1,Unsigned,0,3,-,Eventual I/O elements
70,Geofence zone 11,1,Unsigned,0,3,-,Eventual I/O elements
88,Geofence zone 12,1,Unsigned,0,3,-,Eventual I/O elements
91,Geofence zone 13,1,Unsigned,0,3,-,Eventual I/O elements
92,Geofence zone 14,1,Unsigned,0,3,-,Eventual I/O elements
93,Geofence zone 15,1,Unsigned,0,3,-,Eventual I/O elements
94,Geofence zone 16,1,Unsigned,0,3,-,Eventual I/O elements
95,Geofence zone 17,1,Unsigned,0,3,-,Eventual I/O elements
96,Geofence zone 18,1,Unsigned,0,3,-,Eventual I/O elements
97,Geofence zone 19,1,Unsigned,0,3,-,Eventual I/O elements
98,Geofence zone 20,1,Unsigned,0,3,-,Eventual I/O elements
99,Geofence zone 21,1,Unsigned,0,3,-,Eventual I/O elements
153,Geofence zone 22,1,Unsigned,0,3,-,Eventual I/O elements
154,Geofence zone 23,1,Unsigned,0,3,-,Eventual I/O elements
190,Geofence zone 24,1,Unsigned,0,3,-,Eventual I/O elements
191,Geofence zone 25,1,Unsigned,0,3,-,Eventual I/O elements
192,Geofence zone 26,1,Unsigned,0,3,-,Eventual I/O elements
193,Geofence zone 27,1,Unsigned,0,3,-,Eventual I/O elements
194,Geofence zone 28,1,Unsigned,0,3,-,Eventual I/O elements
195,Geofence zone 29,1,Unsigned,0,3,-,Eventual I/O elements
196,Geofence zone 30,1,Unsigned,0,3,-,Eventual I/O elements
197,Geofence zone 31,1,Unsigned,0,3,-,Eventual I/O elements
198,Geofence zone 32,1,Unsigned,0,3,-,Eventual I/O elements
208,Geofence zone 33,1,Unsigned,0,3,-,Eventual I/O elements
209,Geofence zone 34,1,Unsigned,0,3,-,Eventual I/O elements
216,Geofence zone 35,1,Unsigned,0,3,-,Eventual I/O elements
217,Geofence zone 36,1,Unsigned,0,3,-,Eventual I/O elements
218,Geofence zone 37,1,Unsigned,0,3,-,Eventual I/O elements
219,Geofence zone 38,1,Unsigned,0,3,-,Eventual I/O elements
220,Geofence zone 39,1,Unsigned,0,3,-,Eventual I/O elements
221,Geofence zone 40,1,Unsigned,0,3,-,Eventual I/O elements
222,Geofence zone 41,1,Unsigned,0,3,-,Eventual I/O elements
223,Geofence zone 42,1,Unsigned,0,3,-,Eventual I/O elements
224,Geofence zone 43,1,Unsigned,0,3,-,Eventual I/O elements
225,Geofence zone 44,1,Unsigned,0,3,-,Eventual I/O elements
226,Geofence zone 45,1,Unsigned,0,3,-,Eventual I/O elements
227,Geofence zone 46,1,Unsigned,0,3,-,Eventual I/O elements
228,Geofence zone 47,1,Unsigned,0,3,-,Eventual I/O elements
229,Geofence zone 48,1,Unsigned,0,3,-,Eventual I/O elements
230,Geofence zone 49,1,Unsigned,0,3,-,Eventual I/O elements
231,Geofence zone 50,1,Unsigned,0,3,-,Eventual I/O elements
